timestamp,price,date,returns_pct
2025-10-03,120611.71911591051,2025-10-03,
2025-10-04,122250.15186842803,2025-10-04,1.3584357842897132
2025-10-05,122380.93708463266,2025-10-05,0.10698163904563351
2025-10-06,123506.18520027678,2025-10-06,0.9194635557218778
2025-10-07,124773.50823074432,2025-10-07,1.0261211034997553
2025-10-08,121518.75593575071,2025-10-08,-2.6085283175452445
2025-10-09,123352.50487523204,2025-10-09,1.5090254383865354
2025-10-10,121698.03066778315,2025-10-10,-1.3412570819882008
2025-10-11,113201.74064138904,2025-10-11,-6.981452353643814
2025-10-12,110853.11663883903,2025-10-12,-2.074724283604612
2025-10-13,115189.5714637257,2025-10-13,3.911892562312791
2025-10-14,115222.28302116522,2025-10-14,0.0283980199108802
2025-10-15,113156.56943826913,2025-10-15,-1.7928073708768921
2025-10-16,110708.66960879423,2025-10-16,-2.163285650693325
2025-10-17,108076.72862033188,2025-10-17,-2.3773576159506815
2025-10-18,106443.61194984635,2025-10-18,-1.5110715242155237
2025-10-19,107156.00337647724,2025-10-19,0.6692664910380453
2025-10-20,108621.134857428,2025-10-20,1.3672882851026413
2025-10-21,110608.5714932665,2025-10-21,1.8296960701498222
2025-10-22,108486.10262716639,2025-10-22,-1.9189008929830775
2025-10-23,107618.4266715404,2025-10-23,-0.7998037855668327
2025-10-24,110048.51827291629,2025-10-24,2.258062746812617
2025-10-25,110997.80437129698,2025-10-25,0.8626068876515847
2025-10-26,111620.3093731354,2025-10-26,0.5608264103640126
2025-10-27,114476.01227508577,2025-10-27,2.5584079796840964
2025-10-28,114182.79442806762,2025-10-28,-0.25613911699994274
2025-10-29,112950.34863259472,2025-10-29,-1.0793620892237898
2025-10-30,110046.66925837283,2025-10-30,-2.5707573366302583
2025-10-31,108240.76528725718,2025-10-31,-1.641034647650863
